num,located,located2,moni_address,lon,lat,stat,st_code,pm2_5,geom,pm10,o3,no2,co,so2
249,충북,진천읍,충북 진천군 진천읍 상산로 65 읍내리 370-1 진천읍사무소 옥상,127.4412732,36.85498237,정좌표,043,34,0101000020E61000007BA6F2D13DDC5F403EE7F20F706D4240,73,0.111,0.014,0.6,0.003
416,전남,여천동(여수),전남 여수시 무선로 190(선원동) 여천동 주민센터 뒷편,127.6524527,34.77751751,정좌표,061,17,0101000020E6100000F62BF8C8C1E95F4039C29AB185634140,52,0.056,0.015,0.5,0.003
50,경기,대야동,경기 시흥시 복지로 37 다다커뮤니티센터,126.7885375,37.44304897,정좌표,031,33,0101000020E6100000DB8AFD6577B25F40975622D4B5B84240,77,0.083,0.03,0.6,0.004
3,서울,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,127.0118703,37.64793511,정좌표,02,31,0101000020E6100000CC92A57BC2C05F40A9B0A589EFD24240,86,0.09,0.021,0.4,0.003
377,경남,산청읍,경남 산청군 산청읍 산엔청로 6 산청군 여성회관 옥상,127.8740908,35.41497026,정좌표,055,20,0101000020E610000002EF891AF1F75F409DC1D7BE1DB54140,40,0.094,0.006,0.3,0.003
302,대구,내당동,대구광역시 서구 서대구로3길 46 내당4동 행정복지센터 3층 옥상 (내당동),128.5518431,35.85902049,정좌표,053,43,0101000020E6100000BF60DCB2A81160406B922762F4ED4140,84,0.12,0.014,0.3,0.002
216,대전,노은동,대전 유성구 노은동로 87번길 89(노은1동 주민센터) 노은1동 주민센터 3층 옥상,127.318439,36.36826639,정좌표,042,26,0101000020E610000057B1F84D61D45F400CA2625A232F4240,62,0.083,0.01,0.3,0.003
370,경남,명서동,경상남도 창원시 의창구 우곡로101번길 28 명서2동 민원센터 (명서동),128.6417464,35.2433942,정좌표,055,26,0101000020E61000006C0ABF2F891460409E84888A279F4140,53,0.084,0.018,0.5,0.004
221,대전,상대동(대전),대전광역시 유성구 도안대로 398 대전역사박물관 (상대동),127.3353399,36.33685869,정좌표,042,21,0101000020E6100000CFE27B3576D55F403276802F1E2B4240,63,0.092,0.01,0.4,0.003
269,부산,명지동,부산광역시 강서구 명지동 3513-3 봄뜰공원 (명지동),128.9258823,35.10558708,정좌표,051,23,0101000020E610000040CEEAD3A01D604075BD9FE0838D4140,70,0.089,0.016,0.4,0.004
39,경기,교문동,경기 구리시 아차산로 439 구리시청 구리시의회,127.1307751,37.59410397,정좌표,031,23,0101000020E61000006468869E5EC85F4071C950990BCC4240,79,0.1,0.023,0.4,0.004
150,인천,아암,인천광역시 연수구 센트럴로 350 송도달빛축제공원 지장 (송도동),126.6340696,37.40485437,정좌표,032,61,0101000020E6100000D2D8A89894A85F4077659B44D2B34240,119,0.082,0.068,0.6,0.005
384,경남,용지동,경남 창원시 의창구 용지로 239번길 19-4 (용지동 주민센터),128.6841242,35.23608144,정좌표,055,21,0101000020E6100000DF2C6F58E41560400DFFA7EA379E4140,60,0.089,0.018,0.5,0.003
8,서울,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,126.9083066,37.45239622,정좌표,02,32,0101000020E61000006C6F01B221BA5F40F4DD8C1EE8B94240,72,0.08,0.026,0.4,0.004
47,경기,당동,경기 군포시 산본로197번길 36 당동도서관,126.9451706,37.35371941,정좌표,031,29,0101000020E61000000109D4AC7DBC5F4088F478AD46AD4240,81,0.088,0.024,0.4,0.007
132,경기,호수동,경기 안산시 단원구 안산천남로 119 양지중학교,126.8333699,37.30505609,정좌표,031,33,0101000020E6100000217EB4EE55B55F4071FFF4130CA74240,77,0.086,0.031,0.5,0.005
311,대구,신암동,대구 동구 신암동 72-1 (신암5동사무소)(아양로 37길 92) 주민센터,128.6329246,35.88978593,정좌표,053,27,0101000020E6100000AF3A17EB401460403EE55E81E4F14140,68,0.089,0.009,0.4,0.003
402,전남,나불리,전남 영암군 삼호읍 나불로 192(나불리) 영암소방서,126.4392875,34.76672162,정좌표,061,-1,0101000020E6100000AA8251491D9C5F40A0841DEF23624140,-1,-1,-1,-1,-1
307,대구,산격동,대구광역시 북구 연암로 40 시청별관 105동 3층 옥상 (산격동),128.6014574,35.89267855,정좌표,053,30,0101000020E6100000FDDD96233F1360409C0B6D4A43F24140,70,0.108,0.011,0.3,0.003
219,대전,문창동,대전 중구 보문로 20번길 38(문창동 주민센터) 문창동 주민센터,127.4379209,36.31620811,정좌표,042,11,0101000020E610000008EF61E506DC5F400997E18179284240,45,0.087,0.014,0.5,0.003
